geo_code,name,youth,Communication,"Hearing, even when using a hearing aid",Remembering,"Seeing, even when using eye glasses",Self care,Walking,province
KZN235,Okhahlamba,24193,233,429,425,743,277,219,KwaZulu-Natal
KZN236,Imbabazane,21243,356,425,332,752,301,211,KwaZulu-Natal
KZN242,Nqutu,32130,254,625,508,1162,468,378,KwaZulu-Natal
KZN244,Msinga,32436,407,662,565,955,545,560,KwaZulu-Natal
KZN245,Umvoti,18837,315,329,453,708,261,220,KwaZulu-Natal
KZN252,Newcastle,69509,574,1286,1064,4016,593,551,KwaZulu-Natal
KZN254,Dannhauser,20307,252,396,387,983,206,170,KwaZulu-Natal
KZN261,eDumbe,15297,173,271,260,496,250,165,KwaZulu-Natal
KZN262,UPhongolo,25623,289,541,504,925,565,257,KwaZulu-Natal
KZN263,Abaqulusi,38549,347,768,740,1779,504,450,KwaZulu-Natal
KZN265,Nongoma,38777,603,966,893,1422,825,618,KwaZulu-Natal
KZN266,Ulundi,35212,336,740,737,1112,559,532,KwaZulu-Natal
KZN272,Jozini,37341,582,943,877,1303,626,505,KwaZulu-Natal
KZN273,The Big 5 False Bay,6550,103,118,111,176,121,92,KwaZulu-Natal
KZN274,Hlabisa,14134,149,377,283,590,163,180,KwaZulu-Natal
KZN275,Mtubatuba,31423,379,643,596,1187,479,392,KwaZulu-Natal
KZN281,Mfolozi,22461,180,329,385,655,323,195,KwaZulu-Natal
KZN283,Ntambanana,14448,145,315,275,437,191,179,KwaZulu-Natal
KZN284,uMlalazi,40130,547,889,1162,1694,587,560,KwaZulu-Natal
KZN285,Mthonjaneni,8674,70,157,243,242,131,101,KwaZulu-Natal
KZN286,Nkandla,21887,439,584,488,774,454,424,KwaZulu-Natal
KZN291,Mandeni,25727,306,501,551,1185,312,428,KwaZulu-Natal
KZN293,Ndwedwe,26298,498,644,756,1017,697,583,KwaZulu-Natal
KZN294,Maphumulo,18278,215,385,366,592,293,193,KwaZulu-Natal
KZN431,Ingwe,18958,287,516,501,708,260,429,KwaZulu-Natal
KZN432,Kwa Sani,2087,11,54,52,93,23,14,KwaZulu-Natal
KZN434,Ubuhlebezwe,18905,186,367,397,652,250,246,KwaZulu-Natal
KZN435,Umzimkhulu,35973,661,583,791,933,503,326,Limpopo
LIM331,Greater Giyani,53598,267,457,385,1107,360,290,Limpopo
LIM332,Greater Letaba,46492,236,516,343,974,357,267,Limpopo
LIM333,Greater Tzaneen,77413,464,869,715,2080,670,493,Limpopo
LIM335,Maruleng,19352,120,277,195,542,162,160,Limpopo
LIM341,Musina,12006,76,99,86,294,82,87,Limpopo
LIM342,Mutale,19187,84,155,153,381,135,123,Limpopo
LIM343,Thulamela,132916,808,1341,3917,3469,1188,831,Limpopo
LIM344,Makhado,102251,595,1110,956,3119,772,753,Limpopo
LIM351,Blouberg,34108,185,302,246,630,277,197,Limpopo
LIM353,Molemole,20869,157,298,206,752,219,137,Limpopo
LIM354,Polokwane,122419,810,1571,1211,4803,1080,816,Limpopo
LIM355,Lepele-Nkumpi,44501,311,431,367,995,400,262,Limpopo
LIM361,Thabazimbi,11896,163,164,130,413,113,121,Limpopo
LIM362,Lephalale,20598,185,246,170,603,209,136,Limpopo
LIM365,Modimolle,11590,109,201,153,467,105,95,Limpopo
LIM366,Bela-Bela,10351,100,144,121,404,94,77,Eastern Cape
BUF,Buffalo City,124098,1000,1553,1740,5861,1155,1080,Eastern Cape
EC101,Camdeboo,7547,54,58,65,275,70,53,Eastern Cape
EC105,Ndlambe,8590,77,153,136,360,98,76,Eastern Cape
EC122,Mnquma,45353,643,966,1059,1833,731,515,Eastern Cape
EC128,Nxuba,3587,27,54,43,155,29,25,Eastern Cape
EC135,Intsika Yethu,24728,300,478,532,823,344,268,Eastern Cape
EC144,Gariep,5445,56,104,93,272,70,56,Eastern Cape
EC157,King Sabata Dalindyebo,91571,731,1582,1503,3303,1127,1090,Eastern Cape
NMA,Nelson Mandela Bay,187720,1555,2156,2479,7833,2124,1630,Eastern Cape
FS164,Naledi,4534,39,110,145,286,56,45,Free State
FS191,Setsoto,20129,175,484,481,1428,250,160,Free State
FS196,Mantsopa,9046,88,221,207,685,168,83,Free State
MAN,Mangaung,135217,1259,2373,3022,11281,1379,1217,Free State
EKU,Ekurhuleni,514167,3756,6330,6134,25792,4011,3824,Gauteng
GT422,Midvaal,13597,137,210,215,679,109,110,Gauteng
GT484,Merafong City,30222,291,537,487,1877,268,247,Gauteng
JHB,City of Johannesburg,696041,5228,7374,7550,33213,5322,5133,Gauteng
TSH,City of Tshwane,476983,4013,5662,5575,23709,3663,3627,Gauteng
ETH,eThekwini,609851,5059,8396,9150,30251,6078,5875,KwaZulu-Natal
KZN216,Hibiscus Coast,43764,409,718,859,1630,501,455,KwaZulu-Natal
KZN227,Richmond,11341,207,303,292,503,288,197,KwaZulu-Natal
KZN241,Endumeni,11375,82,193,165,601,109,98,KwaZulu-Natal
KZN253,Emadlangeni,5991,60,121,125,238,62,59,KwaZulu-Natal
KZN271,Umhlabuyalingana,30899,266,416,714,909,405,306,KwaZulu-Natal
KZN282,uMhlathuze,60660,477,817,821,2790,581,527,KwaZulu-Natal
KZN292,KwaDukuza,41865,417,711,793,2052,467,441,KwaZulu-Natal
KZN433,Greater Kokstad,12528,81,161,157,491,94,104,KwaZulu-Natal
LIM334,Ba-Phalaborwa,27961,135,240,217,760,210,148,KwaZulu-Natal
LIM352,Aganang,25846,188,420,334,926,262,197,Limpopo
LIM364,Mookgopong,5667,39,54,66,159,39,39,Limpopo
LIM367,Mogalakwena,59917,461,945,707,2663,709,485,Limpopo
LIM471,Ephraim Mogale,23292,208,379,294,781,235,206,Limpopo
LIM472,Elias Motsoaledi,48231,418,814,667,1812,628,468,Limpopo
LIM473,Makhuduthamaga,51769,347,687,511,1297,578,330,Limpopo
LIM474,Fetakgomo,17448,149,177,191,298,234,153,Limpopo
LIM475,Greater Tubatse,65624,374,841,623,1502,644,485,Limpopo
MP301,Albert Luthuli,39205,281,728,658,1992,341,326,Limpopo
MP302,Msukaligwa,26802,217,547,400,1691,351,258,Mpumalanga
MP304,Pixley Ka Seme,14767,131,290,246,723,161,122,Mpumalanga
MP305,Lekwa,19155,132,370,297,1216,187,172,Mpumalanga
MP306,Dipaleseng,7278,66,159,128,430,82,86,Mpumalanga
MP307,Govan Mbeki,50433,468,867,796,3102,511,548,Mpumalanga
MP312,Emalahleni,67890,515,965,818,3482,611,518,Mpumalanga
MP313,Steve Tshwete,36890,297,523,506,1698,323,341,Mpumalanga
MP314,Emakhazeni,7782,59,149,109,547,58,58,Mpumalanga
MP315,Thembisile,60807,446,999,1018,2745,554,498,Mpumalanga
MP316,Dr JS Moroka,48911,361,712,654,2051,457,433,Mpumalanga
MP321,Thaba Chweu,15079,131,207,190,604,185,151,Mpumalanga
MP323,Umjindi,11123,60,150,119,447,80,67,Mpumalanga
MP324,Nkomazi,84589,586,1073,811,2296,789,721,Mpumalanga
MP325,Bushbuckridge,117364,637,1057,921,2429,885,679,Mpumalanga
NW371,Moretele,33048,303,449,503,1388,353,248,Mpumalanga
NW372,Madibeng,78853,760,1134,1054,3513,768,664,North West
NW374,Kgetlengrivier,7803,85,130,178,353,94,92,North West
NW375,Moses Kotane,38860,329,624,563,1759,395,310,North West
NW381,Ratlou,18192,230,476,597,966,313,232,North West
NW382,Tswaing,21968,187,452,580,1024,290,219,North West
NW383,Mafikeng,53151,539,1021,1236,3410,621,569,North West
NW385,Ramotshere Moiloa,23856,209,403,391,963,301,237,North West
NW392,Naledi,10954,125,225,282,615,158,153,North West
NW393,Mamusa,10429,89,216,204,472,109,124,North West
NW394,Greater Taung,31464,311,724,1299,1872,405,332,North West
NW397,Kagisano/Molopo,17272,212,602,647,1253,279,303,North West
NW401,Ventersdorp,9277,138,227,295,436,150,115,North West
NW402,Tlokwe City Council,30135,210,399,411,1516,252,226,North West
NW403,City of Matlosana,64452,547,1355,1279,4181,662,583,North West
NW404,Maquassi Hills,12962,138,336,293,718,191,204,North West
NC061,Richtersveld,1599,12,21,14,78,17,12,North West
NC064,Kamiesberg,1191,14,24,23,89,17,15,Northern Cape
NC065,Hantam,3120,19,31,27,104,14,23,Northern Cape
NC066,Karoo Hoogland,1504,14,26,22,104,23,19,Northern Cape
NC067,Kh̢i-Ma,2038,18,57,27,74,35,22,Northern Cape
NC072,Umsobomvu,4341,40,86,66,251,52,37,Northern Cape
NC073,Emthanjeni,6583,54,67,63,285,59,44,Northern Cape
NC074,Kareeberg,1600,16,27,17,87,32,20,Northern Cape
NC075,Renosterberg,1566,12,17,9,82,9,17,Northern Cape
NC076,Thembelihle,2529,7,31,25,92,14,22,Northern Cape
NC078,Siyancuma,5696,47,77,92,205,78,48,Northern Cape
NC081,Mier,1021,10,11,16,40,14,9,Northern Cape
NC082,Kai !Garib,12733,87,188,165,430,119,110,Northern Cape
NC083,//Khara Hais,15392,130,158,238,557,232,138,Northern Cape
NC084,!Kheis,2278,27,21,28,70,20,13,Northern Cape
NC086,Kgatelopele,3070,37,56,36,169,51,30,Northern Cape
NC091,Sol Plaatjie,40181,326,618,738,2357,495,332,Northern Cape
NC092,Dikgatlong,7443,74,163,146,451,128,61,Northern Cape
NC093,Magareng,4056,33,74,67,237,50,41,Northern Cape
NC451,Joe Morolong,14934,330,436,745,760,318,150,Northern Cape
NC452,Ga-Segonyana,16419,133,291,265,874,238,145,Northern Cape
NC453,Gamagara,6465,59,96,118,261,92,52,Northern Cape
CPT,City of Cape Town,600926,4338,6235,6445,23405,5150,4745,Northern Cape
WC011,Matzikama,10007,99,139,120,337,125,117,Western Cape
WC013,Bergrivier,8694,73,71,83,225,62,59,Western Cape
WC014,Saldanha Bay,15670,99,153,145,520,114,106,Western Cape
WC015,Swartland,16796,100,154,126,479,150,102,Western Cape
WC022,Witzenberg,19911,89,154,112,536,123,114,Western Cape
WC023,Drakenstein,41523,226,285,319,1111,504,240,Western Cape
WC025,Breede Valley,26768,214,273,268,803,278,223,Western Cape
WC026,Langeberg,15436,120,186,143,372,143,122,Western Cape
WC031,Theewaterskloof,16956,100,138,127,374,131,108,Western Cape
WC032,Overstrand,10565,73,134,106,351,78,75,Western Cape
WC034,Swellendam,5373,51,33,47,108,43,45,Western Cape
WC041,Kannaland,3683,33,35,48,125,47,45,Western Cape
WC042,Hessequa,7007,37,41,59,212,59,53,Western Cape
WC043,Mossel Bay,12245,102,144,125,365,145,116,Western Cape
